
URN: urn:cts:greekLit:tlg4081.tlg001	 XML: 2008.01.0495.xml
URN: urn:cts:latinLit:phi1056.phi001	 XML: 1999.02.0072.xml
URN: urn:cts:latinLit:stoa0089.stoa001	 XML: 2008.01.0693.xml
URN: urn:cts:latinLit:stoa0089.stoa010	 XML: 2008.01.0696.xml
URN: urn:cts:latinLit:stoa0089.stoa011	 XML: 2008.01.0695.xml
URN: urn:cts:latinLit:stoa0089.stoa012	 XML: 2008.01.0687.xml
URN: urn:cts:latinLit:stoa0089.stoa004	 XML: 2008.01.0684.xml
URN: urn:cts:latinLit:stoa0089.stoa013	 XML: 2008.01.0692.xml
URN: urn:cts:latinLit:stoa0089.stoa005	 XML: 2008.01.0685.xml
URN: urn:cts:latinLit:stoa0089.stoa014	 XML: 2008.01.0694.xml
URN: urn:cts:latinLit:stoa0089.stoa002	 XML: 2008.01.0698.xml
URN: urn:cts:latinLit:stoa0089.stoa003	 XML: 2008.01.0690.xml
URN: urn:cts:latinLit:stoa0089.stoa008	 XML: 2008.01.0689.xml
URN: urn:cts:latinLit:stoa0089.stoa006	 XML: 2008.01.0691.xml
URN: urn:cts:greekLit:tlg0032.tlg010	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg013	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg001	 XML: 1999.01.0205.xml
URN: urn:cts:greekLit:tlg0032.tlg014	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg002	 XML: 1999.01.0207.xml
URN: urn:cts:greekLit:tlg0032.tlg011	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg012	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg003	 XML: 1999.01.0211.xml
URN: urn:cts:greekLit:tlg0032.tlg004	 XML: 1999.01.0211.xml
URN: urn:cts:greekLit:tlg0032.tlg005	 XML: 1999.01.0211.xml
URN: urn:cts:greekLit:tlg0032.tlg015	 XML: 1999.01.0157.xml
URN: urn:cts:greekLit:tlg0032.tlg006	 XML: 1999.01.0201.xml
URN: urn:cts:greekLit:tlg0032.tlg007	 XML: 1999.01.0203.xml
URN: urn:cts:greekLit:tlg0032.tlg008	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg0032.tlg009	 XML: 1999.01.0209.xml
URN: urn:cts:greekLit:tlg1799.tlg001	 XML: 1999.01.0085.xml
URN: urn:cts:greekLit:tlg0031.tlg027	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg026	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg001	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg002	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg003	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg004	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg023	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg005	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg025	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg006	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg024	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg007	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg008	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg009	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg021	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg020	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg010	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg013	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg011	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg012	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg017	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg018	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg015	 XML: 1999.01.0155.xml
URN: urn:cts:greekLit:tlg0031.tlg019	 XML: 1999.01.0155.xml
URN: urn:cts:latinLit:phi1242.phi001	 XML: 2008.01.0496.xml
URN: urn:cts:greekLit:tlg0030.tlg001	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0030.tlg002	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0030.tlg003	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0030.tlg004	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0030.tlg005	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0030.tlg006	 XML: 1999.01.0139.xml
URN: urn:cts:greekLit:tlg0036.tlg001	 XML: 2008.01.0672.xml
URN: urn:cts:greekLit:tlg0036.tlg002	 XML: 2008.01.0671.xml
URN: urn:cts:greekLit:tlg0036.tlg003	 XML: 2008.01.0673.xml
URN: urn:cts:greekLit:tlg0035.tlg001	 XML: 2008.01.0648.xml
URN: urn:cts:greekLit:tlg0035.tlg002	 XML: 2008.01.0644.xml
URN: urn:cts:greekLit:tlg0035.tlg003	 XML: 2008.01.0647.xml
